Game,Japan Sales,GameID,Pos,PAL Sales,Other Sales,NA Sales,Metacritic Score,Total Sales,User Score
1080° Avalanche,,1080° Avalanche | GCN,566,,,,,,
Romance of the Three Kingdoms VI: Awakening of the Dragon,,Romance of the Three Kingdoms VI: Awakening of the Dragon | PS,1084,0.02,,0.03,,0.05,
Romance wa Ken no Kagayaki II,,Romance wa Ken no Kagayaki II | PS,2236,,,,,,
Rosco McQueen: Firefighter Extreme,,Rosco McQueen: Firefighter Extreme | PS,933,0.04,0.01,0.05,,0.09,
"Roswell Conspiracies: Aliens, Myths & Legends",,"Roswell Conspiracies: Aliens, Myths & Legends | PS",1097,0.02,,0.02,,0.04,
RPG Maker,0.29,RPG Maker | PS,383,0.07,0.03,0.11,66.0,0.5,8.4
RPG Tsukuru 4,,RPG Tsukuru 4 | PS,2237,,,,,,
R-Type Delta,,R-Type Delta | PS,1162,0.01,,0.01,,0.03,
R-Types,,R-Types | PS,1031,0.02,,0.04,,0.06,
Rubbish Blazon,,Rubbish Blazon | PS,2238,,,,,,
Rugrats in Paris: The Movie,,Rugrats in Paris: The Movie | PS,34,1.33,0.23,1.96,,3.52,
Rugrats Studio Tour,,Rugrats Studio Tour | PS,135,0.67,0.07,0.57,,1.31,
Rugrats: Search For Reptar,,Rugrats: Search For Reptar | PS,39,1.53,0.18,1.63,,3.34,
Rugrats: Totally Angelica,,Rugrats: Totally Angelica | PS,862,0.04,0.01,0.06,,0.12,
RungRung: The Wonderful Wizard of Oz ~Another World~,,RungRung: The Wonderful Wizard of Oz ~Another World~ | PS,2239,,,,,,
Running Wild,,Running Wild | PS,943,0.03,0.01,0.05,,0.09,
Rurouni Kenshin: Ishin Gekitouhen,,Rurouni Kenshin: Ishin Gekitouhen | PS,2240,,,,,,
Rurouni Kenshin: Meiji Kenyaku Romantan: Juuyuushi Inbou Hen,,Rurouni Kenshin: Meiji Kenyaku Romantan: Juuyuushi Inbou Hen | PS,2241,,,,,,
Rush Hour,,Rush Hour | PS,1154,0.01,,0.02,,0.03,
Ryuki Densyo: Dragoon,,Ryuki Densyo: Dragoon | PS,2242,,,,,,
S.C.A.R.S,,S.C.A.R.S | PS,962,0.03,0.01,0.05,,0.08,
Saban's Power Rangers: Lightspeed Rescue,,Saban's Power Rangers: Lightspeed Rescue | PS,489,0.13,0.02,0.19,,0.35,
Saber Marionette J: Battle Sabers,,Saber Marionette J: Battle Sabers | PS,2243,,,,,,
SaGa Frontier,1.07,SaGa Frontier | PS,129,0.04,0.09,0.15,,1.35,
SaGa Frontier 2,0.71,SaGa Frontier 2 | PS,215,0.07,0.06,0.1,,0.94,
Saikyou Ginsei Chess,,Saikyou Ginsei Chess | PS,2244,,,,,,
Saikyou Ginsei Mahjong,,Saikyou Ginsei Mahjong | PS,2245,,,,,,
Saikyou Ginsei Mahjong 2,,Saikyou Ginsei Mahjong 2 | PS,2246,,,,,,
Saishuu Densha,,Saishuu Densha | PS,2247,,,,,,
Saiyuki: Journey West,,Saiyuki: Journey West | PS,1082,0.02,,0.03,73.0,0.05,7.1
Salamander Deluxe Pack Plus,,Salamander Deluxe Pack Plus | PS,2248,,,,,,
Salary Man Champ: Tatakau Salary Man,,Salary Man Champ: Tatakau Salary Man | PS,2249,,,,,,
Salary Man Kintaro: The Game,,Salary Man Kintaro: The Game | PS,2250,,,,,,
Salary Man Settai Mahjong,,Salary Man Settai Mahjong | PS,2251,,,,,,
Saltwater Sportfishing,,Saltwater Sportfishing | PS,662,0.08,0.01,0.12,,0.22,
Sammy Sosa High Heat Baseball 2001,,Sammy Sosa High Heat Baseball 2001 | PS,334,0.22,0.04,0.32,,0.58,
Samurai Deeper Kyo,0.05,Samurai Deeper Kyo | PS,1060,,,,,0.05,
Samurai Shodown: Warrios Rage,,Samurai Shodown: Warrios Rage | PS,1201,,,0.01,,0.01,
Samurai Spirits: Amakusa Kourin Special,,Samurai Spirits: Amakusa Kourin Special | PS,2252,,,,,,
Samurai Spirits: Kenkaku Yubinan Pack,,Samurai Spirits: Kenkaku Yubinan Pack | PS,2253,,,,,,
San Francisco Rush: Extreme Racing,,San Francisco Rush: Extreme Racing | PS,465,0.15,0.03,0.21,,0.38,
San Goku Shi III,,San Goku Shi III | PS,2254,,,,,,
San Goku Shi V,,San Goku Shi V | PS,2255,,,,,,
Saraba Uchuu Senkan Yamato: Ai no Senshi Tachi,,Saraba Uchuu Senkan Yamato: Ai no Senshi Tachi | PS,2257,,,,,,
SatelliTV,,SatelliTV | PS,2258,,,,,,
Scooby Doo and the Cyber Chase,,Scooby Doo and the Cyber Chase | PS,70,1.23,0.13,0.59,,1.94,
Scrabble,,Scrabble | PS,609,0.1,0.02,0.14,,0.25,
SD Gundam Eiyuden Daikessen!! Knight vs Musha,,SD Gundam Eiyuden Daikessen!! Knight vs Musha | PS,2259,,,,,,
SD Gundam G Century,0.27,SD Gundam G Century | PS,557,,0.02,,,0.29,
SD Gundam G Generation,0.67,SD Gundam G Generation | PS,276,,0.05,,,0.72,
SD Gundam G Generation Zero,0.51,SD Gundam G Generation Zero | PS,356,,0.04,,,0.55,
SD Gundam G Generation-F,0.36,SD Gundam G Generation-F | PS,469,,0.02,,,0.38,
SD Gundam G Generation-F.I.F,0.11,SD Gundam G Generation-F.I.F | PS,860,,0.01,,,0.12,
SD Gundam: Over Galaxian,0.05,SD Gundam: Over Galaxian | PS,1076,,,,,0.05,
Sea-Doo HydroCross,,Sea-Doo HydroCross | PS,2260,,,,,,
Segare Ijiri,,Segare Ijiri | PS,2261,,,,,,
Sekai Saikyou Ginsei Igo,,Sekai Saikyou Ginsei Igo | PS,2262,,,,,,
Sekai Saikyou Ginsei Igo 2,,Sekai Saikyou Ginsei Igo 2 | PS,2263,,,,,,
Sekai Saikyou Ginsei Igo 3,,Sekai Saikyou Ginsei Igo 3 | PS,2264,,,,,,
Sen Miyako Monogatari: Sono I,,Sen Miyako Monogatari: Sono I | PS,2265,,,,,,
Sengoku Cyber: Fujimaru Jigokuhen,0.11,Sengoku Cyber: Fujimaru Jigokuhen | PS,867,,0.01,,,0.12,
Senjou no Alice: Alice on Borderlines,,Senjou no Alice: Alice on Borderlines | PS,2266,,,,,,
Sensible Soccer,,Sensible Soccer | PS,2267,,,,,,
Sentimental Graffiti,,Sentimental Graffiti | PS,2268,,,,,,
Sentimental Graffiti Yakusoku,,Sentimental Graffiti Yakusoku | PS,2269,,,,,,
Sentimental Journey,,Sentimental Journey | PS,2270,,,,,,
Sentou Kokka Air Land Battle,0.13,Sentou Kokka Air Land Battle | PS,821,,0.01,,,0.13,
Septentrion ~Out of the Blue~,,Septentrion ~Out of the Blue~ | PS,2271,,,,,,
serial experiments lain,,serial experiments lain | PS,2272,,,,,,
Sesame Street: Elmo's Letter Adventure,,Sesame Street: Elmo's Letter Adventure | PS,530,0.12,0.02,0.17,,0.31,
Sesame Street: Elmo's Number Journey,,Sesame Street: Elmo's Number Journey | PS,641,0.09,0.02,0.13,,0.24,
Sexy Parodius,,Sexy Parodius | PS,2273,,,,,,
Shadow Madness,,Shadow Madness | PS,709,0.07,0.01,0.1,,0.18,
Shadow Man,,Shadow Man | PS,618,0.09,0.02,0.14,,0.25,
Shadow Master,,Shadow Master | PS,926,0.04,0.01,0.05,,0.1,
Shadow Tower,0.07,Shadow Tower | PS,925,0.01,0.01,0.01,,0.1,
Shaman King: Spirit of Shamans,0.18,Shaman King: Spirit of Shamans | PS,686,,0.01,,,0.2,
Shanghai: True Valor,,Shanghai: True Valor | PS,1170,0.01,,0.01,,0.02,
Sheep,,Sheep | PS,1167,0.01,,0.01,71.0,0.02,
Shellshock,,Shellshock | PS,907,0.04,0.01,0.06,,0.1,
Shikami No Maki,,Shikami No Maki | PS,2274,,,,,,
Shin Fortune Quest: Sokutaku no Kishi,0.04,Shin Fortune Quest: Sokutaku no Kishi | PS,1099,,,,,0.04,
Shin Megami Tensei,0.09,Shin Megami Tensei | PS,938,,0.01,,,0.09,
Shin Megami Tensei II,,Shin Megami Tensei II | PS,2275,,,,,,
Shin Megami Tensei: Devil Children,,Shin Megami Tensei: Devil Children | PS,2276,,,,,,
Shin Megami Tensei: if...,,Shin Megami Tensei: if... | PS,2277,,,,,,
Shin Nippon Pro Wrestling: Toukon Retsuden,0.3,Shin Nippon Pro Wrestling: Toukon Retsuden | PS,510,,0.02,,,0.33,
Shin Nippon Pro Wrestling: Toukon Retsuden 2,0.26,Shin Nippon Pro Wrestling: Toukon Retsuden 2 | PS,576,,0.02,,,0.27,
Shin Nippon Pro Wrestling: Toukon Retsuden 3,0.21,Shin Nippon Pro Wrestling: Toukon Retsuden 3 | PS,654,,0.01,,,0.23,
Shin Sedai Robot Senki: Brave Saga,,Shin Sedai Robot Senki: Brave Saga | PS,2278,,,,,,
Shin Super Robot Taisen,0.52,Shin Super Robot Taisen | PS,351,,0.04,,,0.55,
Shin Super Robot Taisen Special Disk,0.3,Shin Super Robot Taisen Special Disk | PS,525,,0.02,,,0.32,
Shingata Kururin Pa!,,Shingata Kururin Pa! | PS,2279,,,,,,
Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,0.05,Shinseiki Evangelion- Eva: Yukai na Nakama Tachi | PS,1078,,,,,0.05,
Shinseiki Evangelion: Koutetsu no Girlfriend,0.11,Shinseiki Evangelion: Koutetsu no Girlfriend | PS,871,,0.01,,,0.11,
Shinseiki GPX Cyber Formula,,Shinseiki GPX Cyber Formula | PS,2280,,,,,,
Shinseiki GPX Cyber Formula: Aratanaru Chousensha,,Shinseiki GPX Cyber Formula: Aratanaru Chousensha | PS,2281,,,,,,
Shinsetsu Samurai Spirits: Bushidou Retsuden,,Shinsetsu Samurai Spirits: Bushidou Retsuden | PS,2282,,,,,,
Shockwave,,Shockwave | PS,2283,,,,,,
Shockwave Assault,,Shockwave Assault | PS,936,0.04,0.01,0.05,,0.09,
Shockwave: Operation Jumpgate,,Shockwave: Operation Jumpgate | PS,2284,,,,,,
Shoot,,Shoot | PS,2285,,,,,,
Shooter: Space Shot,,Shooter: Space Shot | PS,1209,,,,,,
Shooter: Starfighter Sanvein,,Shooter: Starfighter Sanvein | PS,1177,0.01,,0.01,,0.02,
Shuukan Gallop: Blood Master,,Shuukan Gallop: Blood Master | PS,2286,,,,,,
Silent Bomber,,Silent Bomber | PS,1182,0.01,,0.01,,0.02,
Silent Hill,0.3,Silent Hill | PS,98,0.48,0.1,0.71,86.0,1.6,9.0
Silent Mobius - Case: Titanic,,Silent Mobius - Case: Titanic | PS,2287,,,,,,
Silent Mobius: Genei no Datenshi,,Silent Mobius: Genei no Datenshi | PS,2288,,,,,,
Silhouette Mirage,,Silhouette Mirage | PS,1080,0.02,,0.03,69.0,0.05,7.2
Sim Theme Park,,Sim Theme Park | PS,310,0.24,0.04,0.35,,0.63,
SimCity 2000,,SimCity 2000 | PS,155,0.46,0.08,0.68,,1.22,
Simple 1500 Jitsuyou Series Vol. 1: Norikae Annai- 2000 Edition,,Simple 1500 Jitsuyou Series Vol. 1: Norikae Annai- 2000 Edition | PS,2297,,,,,,
Simple 1500 Jitsuyou Series Vol. 10: Tarot Uranai,,Simple 1500 Jitsuyou Series Vol. 10: Tarot Uranai | PS,2289,,,,,,
Simple 1500 Jitsuyou Series Vol. 11: Katei de Dekiru Tsubo Shiatsu,,Simple 1500 Jitsuyou Series Vol. 11: Katei de Dekiru Tsubo Shiatsu | PS,2290,,,,,,
Simple 1500 Jitsuyou Series Vol. 12: Katei no Igaku,,Simple 1500 Jitsuyou Series Vol. 12: Katei no Igaku | PS,2291,,,,,,
Simple 1500 Jitsuyou Series Vol. 14: Kurashi no Manner,,Simple 1500 Jitsuyou Series Vol. 14: Kurashi no Manner | PS,2292,,,,,,
Simple 1500 Jitsuyou Series Vol. 15: Inu no Kaikata,,Simple 1500 Jitsuyou Series Vol. 15: Inu no Kaikata | PS,2293,,,,,,
Simple 1500 Jitsuyou Series Vol. 16: Neko no Kaikata,,Simple 1500 Jitsuyou Series Vol. 16: Neko no Kaikata | PS,2294,,,,,,
Simple 1500 Jitsuyou Series Vol. 17: Planetarium,,Simple 1500 Jitsuyou Series Vol. 17: Planetarium | PS,2295,,,,,,
Simple 1500 Jitsuyou Series Vol. 18: Kanji Quiz: Kanji Kentei ni Challenge,,Simple 1500 Jitsuyou Series Vol. 18: Kanji Quiz: Kanji Kentei ni Challenge | PS,2296,,,,,,
Simple 1500 Jitsuyou Series Vol. 2: Katei no Fuusui,,Simple 1500 Jitsuyou Series Vol. 2: Katei no Fuusui | PS,2298,,,,,,
Simple 1500 Jitsuyou Series Vol. 3: Seimei Handan,,Simple 1500 Jitsuyou Series Vol. 3: Seimei Handan | PS,2299,,,,,,
Simple 1500 Jitsuyou Series Vol. 4: Ryouri ~Teiban Ryouri Recipe Shou~,,Simple 1500 Jitsuyou Series Vol. 4: Ryouri ~Teiban Ryouri Recipe Shou~ | PS,2300,,,,,,
Simple 1500 Jitsuyou Series Vol. 5: Kusuri no Jiten - Pill Book 2001 Edition,,Simple 1500 Jitsuyou Series Vol. 5: Kusuri no Jiten - Pill Book 2001 Edition | PS,2301,,,,,,
Simple 1500 Jitsuyou Series Vol. 6: Cocktail no Recipe,,Simple 1500 Jitsuyou Series Vol. 6: Cocktail no Recipe | PS,2302,,,,,,
Simple 1500 Jitsuyou Series Vol. 7: Rakushiku Manabu Unten Menkyo,,Simple 1500 Jitsuyou Series Vol. 7: Rakushiku Manabu Unten Menkyo | PS,2303,,,,,,
Simple 1500 Jitsuyou Series Vol. 8: 1-Jikan de Wakaru Kabushiki Toushi,,Simple 1500 Jitsuyou Series Vol. 8: 1-Jikan de Wakaru Kabushiki Toushi | PS,2304,,,,,,
Simple 1500 Jitsuyou Series Vol. 9: Watashi Style no Aromatherapy,,Simple 1500 Jitsuyou Series Vol. 9: Watashi Style no Aromatherapy | PS,2305,,,,,,
Simple 1500 Series Hello Kitty Vol. 1: Hello Kitty Bowling,,Simple 1500 Series Hello Kitty Vol. 1: Hello Kitty Bowling | PS,2306,,,,,,
Simple 1500 Series Hello Kitty Vol. 2: Hello Kitty Illust Puzzle,,Simple 1500 Series Hello Kitty Vol. 2: Hello Kitty Illust Puzzle | PS,2307,,,,,,
Simple 1500 Series Hello Kitty Vol. 3: Hello Kitty Block Kuzushi,,Simple 1500 Series Hello Kitty Vol. 3: Hello Kitty Block Kuzushi | PS,2308,,,,,,
Simple 1500 Series Hello Kitty Vol. 4: Trump,,Simple 1500 Series Hello Kitty Vol. 4: Trump | PS,2309,,,,,,
Simple 1500 Series Vol. 1: The Mahjong,0.99,Simple 1500 Series Vol. 1: The Mahjong | PS,189,,0.07,,,1.06,
Simple 1500 Series Vol. 100: The Uchuuhikoushi,,Simple 1500 Series Vol. 100: The Uchuuhikoushi | PS,2310,,,,,,
Simple 1500 Series Vol. 101: The Sentou,,Simple 1500 Series Vol. 101: The Sentou | PS,2311,,,,,,
Simple 1500 Series Vol. 11: The Pinball,,Simple 1500 Series Vol. 11: The Pinball | PS,2312,,,,,,
Simple 1500 Series Vol. 12: The Quiz,,Simple 1500 Series Vol. 12: The Quiz | PS,2313,,,,,,
Simple 1500 Series Vol. 14: The Block Kuzushi,,Simple 1500 Series Vol. 14: The Block Kuzushi | PS,2314,,,,,,
Simple 1500 Series Vol. 15: The Pachinko,,Simple 1500 Series Vol. 15: The Pachinko | PS,2315,,,,,,
Simple 1500 Series Vol. 17: The Bike Race,,Simple 1500 Series Vol. 17: The Bike Race | PS,2316,,,,,,
Simple 1500 Series Vol. 19: The Sugoroku,,Simple 1500 Series Vol. 19: The Sugoroku | PS,2317,,,,,,
Simple 1500 Series Vol. 2: The Shogi,,Simple 1500 Series Vol. 2: The Shogi | PS,2324,,,,,,
Simple 1500 Series Vol. 21: The Yakyuu,,Simple 1500 Series Vol. 21: The Yakyuu | PS,2318,,,,,,
Simple 1500 Series Vol. 23: The Gateball,,Simple 1500 Series Vol. 23: The Gateball | PS,2319,,,,,,
Simple 1500 Series Vol. 24: The Gun Shooting,,Simple 1500 Series Vol. 24: The Gun Shooting | PS,2320,,,,,,
Simple 1500 Series Vol. 25: The Keiba,,Simple 1500 Series Vol. 25: The Keiba | PS,2321,,,,,,
Simple 1500 Series Vol. 28: The Dungeon RPG,,Simple 1500 Series Vol. 28: The Dungeon RPG | PS,2322,,,,,,
Simple 1500 Series Vol. 29: The Tsuri,,Simple 1500 Series Vol. 29: The Tsuri | PS,2323,,,,,,
Simple 1500 Series Vol. 3: The GoMoku Narabe,,Simple 1500 Series Vol. 3: The GoMoku Narabe | PS,2333,,,,,,
Simple 1500 Series Vol. 30: The Basketball,,Simple 1500 Series Vol. 30: The Basketball | PS,2325,,,,,,
Simple 1500 Series Vol. 31: The Sound Novel,,Simple 1500 Series Vol. 31: The Sound Novel | PS,2326,,,,,,
Simple 1500 Series Vol. 33: The Takkyuu,,Simple 1500 Series Vol. 33: The Takkyuu | PS,2327,,,,,,
Simple 1500 Series Vol. 34: The Quiz Bangumi,,Simple 1500 Series Vol. 34: The Quiz Bangumi | PS,2328,,,,,,
Simple 1500 Series Vol. 36: The Renai Simulation,,Simple 1500 Series Vol. 36: The Renai Simulation | PS,2329,,,,,,
Simple 1500 Series Vol. 37: The Illustration Puzzle and Slide Puzzle,,Simple 1500 Series Vol. 37: The Illustration Puzzle and Slide Puzzle | PS,2330,,,,,,
Simple 1500 Series Vol. 38: The Real Racing: Toyota,,Simple 1500 Series Vol. 38: The Real Racing: Toyota | PS,2331,,,,,,
Simple 1500 Series Vol. 39: The Mahjong 2,,Simple 1500 Series Vol. 39: The Mahjong 2 | PS,2332,,,,,,
Simple 1500 Series Vol. 4: The Reversi,,Simple 1500 Series Vol. 4: The Reversi | PS,2341,,,,,,
Simple 1500 Series Vol. 40: The Shogi 2,,Simple 1500 Series Vol. 40: The Shogi 2 | PS,2334,,,,,,
Simple 1500 Series Vol. 41: The Reversi 2,,Simple 1500 Series Vol. 41: The Reversi 2 | PS,2335,,,,,,
Simple 1500 Series Vol. 42: The Igo 2,,Simple 1500 Series Vol. 42: The Igo 2 | PS,2336,,,,,,
Simple 1500 Series Vol. 43: The Hanafuda 2,,Simple 1500 Series Vol. 43: The Hanafuda 2 | PS,2337,,,,,,
Simple 1500 Series Vol. 46: The Mahjong Ochi Chige,,Simple 1500 Series Vol. 46: The Mahjong Ochi Chige | PS,2338,,,,,,
Simple 1500 Series Vol. 47: The Skateboard,,Simple 1500 Series Vol. 47: The Skateboard | PS,2339,,,,,,
Simple 1500 Series Vol. 49: The Casino,,Simple 1500 Series Vol. 49: The Casino | PS,2340,,,,,,
Simple 1500 Series Vol. 5: The Igo,,Simple 1500 Series Vol. 5: The Igo | PS,2351,,,,,,
Simple 1500 Series Vol. 50: The Billiards 2,,Simple 1500 Series Vol. 50: The Billiards 2 | PS,2342,,,,,,
Simple 1500 Series Vol. 51: The Jigsaw Puzzle,,Simple 1500 Series Vol. 51: The Jigsaw Puzzle | PS,2343,,,,,,
Simple 1500 Series Vol. 52: The Pro Wrestling 2,,Simple 1500 Series Vol. 52: The Pro Wrestling 2 | PS,2344,,,,,,
Simple 1500 Series Vol. 54: The Volleyball - Break Volley Plus,,Simple 1500 Series Vol. 54: The Volleyball - Break Volley Plus | PS,2345,,,,,,
Simple 1500 Series Vol. 55: The Darts,,Simple 1500 Series Vol. 55: The Darts | PS,2346,,,,,,
Simple 1500 Series Vol. 56: The Sniper,,Simple 1500 Series Vol. 56: The Sniper | PS,2347,,,,,,
Simple 1500 Series Vol. 57: The Meiro,,Simple 1500 Series Vol. 57: The Meiro | PS,2348,,,,,,
Simple 1500 Series Vol. 58: The Sumo,,Simple 1500 Series Vol. 58: The Sumo | PS,2349,,,,,,
Simple 1500 Series Vol. 59: The Suiri ~IT Tantei: 18 no Jikenbo~,,Simple 1500 Series Vol. 59: The Suiri ~IT Tantei: 18 no Jikenbo~ | PS,2350,,,,,,
Simple 1500 Series Vol. 6: The Hanafuda,,Simple 1500 Series Vol. 6: The Hanafuda | PS,2359,,,,,,
Simple 1500 Series Vol. 60: The Table Hockey,,Simple 1500 Series Vol. 60: The Table Hockey | PS,2352,,,,,,
Simple 1500 Series Vol. 61: The Quiz 2,,Simple 1500 Series Vol. 61: The Quiz 2 | PS,2353,,,,,,
Simple 1500 Series Vol. 62: The Ski,,Simple 1500 Series Vol. 62: The Ski | PS,2354,,,,,,
Simple 1500 Series Vol. 63: The Gun Shooting 2,,Simple 1500 Series Vol. 63: The Gun Shooting 2 | PS,2355,,,,,,
Simple 1500 Series Vol. 65: The Golf,,Simple 1500 Series Vol. 65: The Golf | PS,2356,,,,,,
Simple 1500 Series Vol. 66: The Kaiten - Mawasun Da!!,,Simple 1500 Series Vol. 66: The Kaiten - Mawasun Da!! | PS,2357,,,,,,
Simple 1500 Series Vol. 67: The Soccer (Dynamite Soccer 1500),,Simple 1500 Series Vol. 67: The Soccer (Dynamite Soccer 1500) | PS,2358,,,,,,
Simple 1500 Series Vol. 7: The Card,,Simple 1500 Series Vol. 7: The Card | PS,2367,,,,,,
Simple 1500 Series Vol. 70: The War Simulation,,Simple 1500 Series Vol. 70: The War Simulation | PS,2360,,,,,,
Simple 1500 Series Vol. 71: The Renai Simulation 2,,Simple 1500 Series Vol. 71: The Renai Simulation 2 | PS,2361,,,,,,
Simple 1500 Series Vol. 72: The Beach Volley,,Simple 1500 Series Vol. 72: The Beach Volley | PS,2362,,,,,,
Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~ | PS,352,0.21,0.04,0.31,,0.55,
Simple 1500 Series Vol. 74: The Horror Mystery,,Simple 1500 Series Vol. 74: The Horror Mystery | PS,2363,,,,,,
Simple 1500 Series Vol. 77: The Suiei,,Simple 1500 Series Vol. 77: The Suiei | PS,2364,,,,,,
Simple 1500 Series Vol. 78: The Zero Yon,,Simple 1500 Series Vol. 78: The Zero Yon | PS,2365,,,,,,
Simple 1500 Series Vol. 79: The Shisenshou,,Simple 1500 Series Vol. 79: The Shisenshou | PS,2366,,,,,,
Simple 1500 Series Vol. 8: The Solitaire,,Simple 1500 Series Vol. 8: The Solitaire | PS,2375,,,,,,
Simple 1500 Series Vol. 81: The Renai Adventure - Okaeri!,,Simple 1500 Series Vol. 81: The Renai Adventure - Okaeri! | PS,2368,,,,,,
Simple 1500 Series Vol. 82: The Sensuikan,,Simple 1500 Series Vol. 82: The Sensuikan | PS,2369,,,,,,
Simple 1500 Series Vol. 84: The Intro Quiz,,Simple 1500 Series Vol. 84: The Intro Quiz | PS,2370,,,,,,
Simple 1500 Series Vol. 85: The Sengoku Bushou,,Simple 1500 Series Vol. 85: The Sengoku Bushou | PS,2371,,,,,,
Simple 1500 Series Vol. 86: The Onigokko,,Simple 1500 Series Vol. 86: The Onigokko | PS,2372,,,,,,
Simple 1500 Series Vol. 87: The Kyoutei,,Simple 1500 Series Vol. 87: The Kyoutei | PS,2373,,,,,,
Simple 1500 Series Vol. 88: The Gal Mahjong,,Simple 1500 Series Vol. 88: The Gal Mahjong | PS,2374,,,,,,
Simple 1500 Series Vol. 9: The Chess,,Simple 1500 Series Vol. 9: The Chess | PS,2382,,,,,,
Simple 1500 Series Vol. 91: The Gambler ~Honoo no Tobaku Densetsu~,,Simple 1500 Series Vol. 91: The Gambler ~Honoo no Tobaku Densetsu~ | PS,2376,,,,,,
Simple 1500 Series Vol. 92: The Tozan RPG ~Ginrei no Hasha~,,Simple 1500 Series Vol. 92: The Tozan RPG ~Ginrei no Hasha~ | PS,2377,,,,,,
Simple 1500 Series Vol. 94: The Cameraman ~Gekisha Boy Omakefu~,,Simple 1500 Series Vol. 94: The Cameraman ~Gekisha Boy Omakefu~ | PS,2378,,,,,,
Simple 1500 Series Vol. 96: The Yakyuu 2,,Simple 1500 Series Vol. 96: The Yakyuu 2 | PS,2379,,,,,,
Simple 1500 Series Vol. 98: The Futsal,,Simple 1500 Series Vol. 98: The Futsal | PS,2380,,,,,,
Simple 1500 Series Vol. 99: The Kendo,,Simple 1500 Series Vol. 99: The Kendo | PS,2381,,,,,,
Simple 1500 Series Vol.75: The Double Shooting ~RayStorm x RayCrisis~,,Simple 1500 Series Vol.75: The Double Shooting ~RayStorm x RayCrisis~ | PS,2383,,,,,,
Simple Characters 2000 Series Vol. 01: Kidou Senshi Gundam: The Gunjin Shogi,,Simple Characters 2000 Series Vol. 01: Kidou Senshi Gundam: The Gunjin Shogi | PS,2384,,,,,,
Simple Characters 2000 Series Vol. 02: Afro Inu: The Puzzle,,Simple Characters 2000 Series Vol. 02: Afro Inu: The Puzzle | PS,2385,,,,,,
Simple Characters 2000 Series Vol. 03: Kamen Rider: The Bike Race,,Simple Characters 2000 Series Vol. 03: Kamen Rider: The Bike Race | PS,2386,,,,,,
Simple Characters 2000 Series Vol. 04: Jarin-Ko Chie: The Hanafuda,,Simple Characters 2000 Series Vol. 04: Jarin-Ko Chie: The Hanafuda | PS,2387,,,,,,
Simple Characters 2000 Series Vol. 05: Highschool Kimengumi: The Table Hockey,,Simple Characters 2000 Series Vol. 05: Highschool Kimengumi: The Table Hockey | PS,2388,,,,,,
Simple Characters 2000 Series Vol. 06: Dokonjou Gaeru: The Mahjong,,Simple Characters 2000 Series Vol. 06: Dokonjou Gaeru: The Mahjong | PS,2389,,,,,,
Simple Characters 2000 Series Vol. 07: Ikkyuu-san: The Quiz,,Simple Characters 2000 Series Vol. 07: Ikkyuu-san: The Quiz | PS,2390,,,,,,
Simple Characters 2000 Series Vol. 08: Gatchaman: The Shooting,,Simple Characters 2000 Series Vol. 08: Gatchaman: The Shooting | PS,2391,,,,,,
Simple Characters 2000 Series Vol. 09: Tsuri Kichi Sanpei: The Tsuri,,Simple Characters 2000 Series Vol. 09: Tsuri Kichi Sanpei: The Tsuri | PS,2392,,,,,,
Simple Characters 2000 Series Vol. 10: Sakigake!! Otojojuku - The Dodge Ball,,Simple Characters 2000 Series Vol. 10: Sakigake!! Otojojuku - The Dodge Ball | PS,2393,,,,,,
Simple Characters 2000 Series Vol. 11: Meitantei Conan - The Board Game,,Simple Characters 2000 Series Vol. 11: Meitantei Conan - The Board Game | PS,2394,,,,,,
Simple Characters 2000 Series Vol. 12: Kidou Butouden G Gundam: The Battle,,Simple Characters 2000 Series Vol. 12: Kidou Butouden G Gundam: The Battle | PS,2395,,,,,,
Simple Characters 2000 Series Vol. 13: Kidou Senki Gundam W: The Battle,,Simple Characters 2000 Series Vol. 13: Kidou Senki Gundam W: The Battle | PS,2396,,,,,,
Simple Characters 2000 Series Vol. 14: Nantettantei Idol: The Jigsaw Puzzle,,Simple Characters 2000 Series Vol. 14: Nantettantei Idol: The Jigsaw Puzzle | PS,2397,,,,,,
Simple Characters 2000 Series Vol. 15: Cyborg 009: The Block Kuzushi,,Simple Characters 2000 Series Vol. 15: Cyborg 009: The Block Kuzushi | PS,2398,,,,,,
Simple Characters 2000 Series Vol. 16: Ganba no Bouken: The Puzzle Action,,Simple Characters 2000 Series Vol. 16: Ganba no Bouken: The Puzzle Action | PS,2399,,,,,,
Simple Characters 2000 Series Vol. 17: Sentou Mecha Xabungle: The Racing Action,,Simple Characters 2000 Series Vol. 17: Sentou Mecha Xabungle: The Racing Action | PS,2400,,,,,,
Simpsons Wrestling,,Simpsons Wrestling | PS,111,1.16,0.11,0.23,,1.51,
Simulation RPG Tsukuru,,Simulation RPG Tsukuru | PS,2401,,,,,,
Sitting Ducks,,Sitting Ducks | PS,2402,,,,,,
Skeleton Warriors,,Skeleton Warriors | PS,983,0.03,0.01,0.04,,0.08,
SkullMonkeys,,SkullMonkeys | PS,839,0.05,0.01,0.07,,0.13,
